architecture,n,accuracy,unsupported_answer_rate,unsafe_answer_rate,conflict_answer_rate,propagation_rate,unsupported_new_memory_rate,unsafe_retention_rate,conflict_merge_rate,benign_overcompression_rate,latent_bad_memory_rate,residual_bad_memory_rate,shielded_bad_memory_rate,cleaned_bad_memory_rate,raw_escalation_rate,mean_cost
raw_only,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2
raw_only,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2
raw_only,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2
raw_only,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2
raw_only,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2
summary_only,0,0.769,0.0,0.231,0.0,0.231,0.0,0.231,0.0,0.0,0.231,0.231,0.0,0.0,0.0,1.0
summary_only,1,0.588,0.096,0.231,0.065,0.412,0.123,0.231,0.243,0.183,0.392,0.392,0.0,0.0,0.0,1.18
summary_only,2,0.369,0.2,0.231,0.158,0.631,0.285,0.231,0.586,0.35,0.588,0.588,0.0,0.0,0.0,1.36
summary_only,4,0.131,0.323,0.231,0.254,0.869,0.45,0.231,0.943,0.667,0.808,0.808,0.0,0.0,0.0,1.72
summary_only,8,0.004,0.427,0.231,0.269,0.996,0.538,0.231,1.0,0.983,0.927,0.927,0.0,0.0,0.0,2.44
tiered,0,1.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.231,0.231,0.231,0.0,0.75,2.2
tiered,1,1.0,0.0,0.0,0.0,0.0,0.123,0.231,0.243,0.0,0.392,0.392,0.392,0.0,0.796,2.454
tiered,2,0.992,0.0,0.0,0.0,0.008,0.285,0.231,0.586,0.033,0.588,0.588,0.588,0.0,0.835,2.695
tiered,4,0.977,0.0,0.0,0.0,0.023,0.45,0.231,0.943,0.1,0.808,0.808,0.808,0.0,0.9,3.16
tiered,8,0.977,0.0,0.0,0.0,0.023,0.538,0.231,1.0,0.1,0.927,0.927,0.927,0.0,0.973,3.997
adaptive_tiered,0,1.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.231,0.231,0.231,0.0,0.75,2.3
adaptive_tiered,1,0.981,0.019,0.0,0.0,0.019,0.123,0.231,0.243,0.0,0.392,0.392,0.373,0.0,0.777,2.523
adaptive_tiered,2,0.946,0.054,0.0,0.0,0.054,0.285,0.231,0.586,0.0,0.588,0.588,0.535,0.0,0.788,2.722
adaptive_tiered,4,0.927,0.073,0.0,0.0,0.073,0.45,0.231,0.943,0.0,0.808,0.808,0.735,0.0,0.85,3.18
adaptive_tiered,8,0.773,0.227,0.0,0.0,0.227,0.538,0.231,1.0,0.65,0.927,0.927,0.7,0.0,0.769,3.771
adaptive_guarded,0,1.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.231,0.231,0.231,0.0,0.769,2.381
adaptive_guarded,1,0.977,0.023,0.0,0.0,0.023,0.123,0.231,0.243,0.1,0.392,0.392,0.369,0.0,0.788,2.592
adaptive_guarded,2,0.962,0.038,0.0,0.0,0.038,0.285,0.231,0.586,0.167,0.588,0.588,0.55,0.0,0.812,2.808
adaptive_guarded,4,0.777,0.108,0.0,0.115,0.223,0.45,0.231,0.943,0.4,0.808,0.808,0.585,0.0,0.7,2.99
adaptive_guarded,8,0.665,0.177,0.0,0.158,0.335,0.538,0.231,1.0,0.683,0.927,0.927,0.592,0.0,0.662,3.648
risk_first,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.231,0.0,1.12
risk_first,1,0.969,0.0,0.0,0.008,0.023,0.0,0.0,0.0,0.1,0.392,0.0,0.065,0.392,0.077,1.423
risk_first,2,0.946,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.233,0.588,0.0,0.162,0.588,0.185,1.775
risk_first,4,0.885,0.0,0.0,0.008,0.108,0.0,0.0,0.0,0.467,0.808,0.0,0.277,0.808,0.292,2.308
risk_first,8,0.835,0.0,0.0,0.008,0.158,0.0,0.0,0.0,0.683,0.927,0.0,0.3,0.927,0.331,3.089
utility_first,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.231,0.0,1.18
utility_first,1,0.988,0.0,0.0,0.008,0.004,0.0,0.0,0.0,0.017,0.392,0.0,0.112,0.392,0.131,1.569
utility_first,2,0.992,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.033,0.588,0.0,0.277,0.588,0.319,2.051
utility_first,4,0.988,0.0,0.0,0.008,0.004,0.0,0.0,0.0,0.017,0.808,0.0,0.442,0.808,0.504,2.706
utility_first,8,0.973,0.0,0.0,0.008,0.019,0.0,0.0,0.0,0.083,0.927,0.0,0.523,0.927,0.588,3.562
utility_calibrated,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.231,0.0,1.2
utility_calibrated,1,0.996,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.017,0.392,0.0,0.119,0.392,0.138,1.602
utility_calibrated,2,0.992,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.033,0.588,0.0,0.277,0.588,0.319,2.071
utility_calibrated,4,0.996,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.017,0.808,0.0,0.45,0.808,0.512,2.738
utility_calibrated,8,0.985,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.067,0.927,0.0,0.531,0.927,0.6,3.6
small_n_hybrid,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.231,0.0,1.22
small_n_hybrid,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.0,0.127,0.392,0.146,1.634
small_n_hybrid,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588,0.0,0.288,0.588,0.331,2.109
small_n_hybrid,4,0.996,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.017,0.808,0.0,0.45,0.808,0.512,2.758
small_n_hybrid,8,0.985,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.067,0.927,0.0,0.531,0.927,0.6,3.62
scale_aware_unified,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.231,0.0,1.22
scale_aware_unified,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.0,0.127,0.392,0.146,1.634
scale_aware_unified,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588,0.0,0.288,0.588,0.331,2.109
scale_aware_unified,4,0.996,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.017,0.808,0.0,0.45,0.808,0.512,2.738
scale_aware_unified,8,0.985,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.067,0.927,0.0,0.531,0.927,0.6,3.6
