panel,method,n,accuracy,propagation_rate,residual_bad_memory_rate,raw_escalation_rate,mean_cost_or_llm_cost,history_loss_rate,false_present_rate
synthetic_core,raw_only,0,1.0,0.0,0.0,1.0,3.2,,
synthetic_core,raw_only,1,1.0,0.0,0.0,1.0,3.2,,
synthetic_core,raw_only,2,1.0,0.0,0.0,1.0,3.2,,
synthetic_core,raw_only,4,1.0,0.0,0.0,1.0,3.2,,
synthetic_core,raw_only,8,1.0,0.0,0.0,1.0,3.2,,
synthetic_core,summary_only,0,0.769,0.231,0.231,0.0,1.0,,
synthetic_core,summary_only,1,0.588,0.412,0.392,0.0,1.18,,
synthetic_core,summary_only,2,0.369,0.631,0.588,0.0,1.36,,
synthetic_core,summary_only,4,0.131,0.869,0.808,0.0,1.72,,
synthetic_core,summary_only,8,0.004,0.996,0.927,0.0,2.44,,
synthetic_core,tiered,0,1.0,0.0,0.231,0.75,2.2,,
synthetic_core,tiered,1,1.0,0.0,0.392,0.796,2.454,,
synthetic_core,tiered,2,0.992,0.008,0.588,0.835,2.695,,
synthetic_core,tiered,4,0.977,0.023,0.808,0.9,3.16,,
synthetic_core,tiered,8,0.977,0.023,0.927,0.973,3.997,,
synthetic_core,scale_aware_unified,0,1.0,0.0,0.0,0.0,1.22,,
synthetic_core,scale_aware_unified,1,1.0,0.0,0.0,0.146,1.634,,
synthetic_core,scale_aware_unified,2,1.0,0.0,0.0,0.331,2.109,,
synthetic_core,scale_aware_unified,4,0.996,0.004,0.0,0.512,2.738,,
synthetic_core,scale_aware_unified,8,0.985,0.015,0.0,0.6,3.6,,
actual_recall_expansion,summary_only,1,0.792,0.208,0.25,0.0,0.034305,0.062,
actual_recall_expansion,summary_only,4,0.458,0.417,0.208,0.0,0.135433,0.438,
actual_recall_expansion,summary_only,8,0.208,0.5,0.083,0.0,0.246584,0.875,
actual_recall_expansion,tiered,1,0.958,0.042,0.25,0.625,0.034305,0.062,
actual_recall_expansion,tiered,4,0.833,0.167,0.208,0.625,0.135433,0.438,
